job_title,specialty
3D Computer Vision Researcher,AI
AI Scientist,AI
Analytics Engineer,Engineering
Applied Data Scientist,Science
Applied Machine Learning Scientist,Science
BI Data Analyst,Science
Big Data Architect,Engineering
Big Data Engineer,Engineering
Business Data Analyst,Science
Cloud Data Engineer,Engineering
Computer Vision Engineer,Engineering
Computer Vision Software Engineer,Engineering
Data Analyst,Science
Data Analytics Engineer,Engineering
Data Analytics Lead,Science
Data Analytics Manager,Science
Data Architect,Engineering
Data Engineer,Engineering
Data Engineering Manager,Engineering
Data Science Consultant,Science
Data Science Engineer,Engineering
Data Science Manager,Science
Data Scientist,Science
Data Specialist,Science
Director of Data Engineering,Engineering
Director of Data Science,Both
ETL Developer,Engineering
Finance Data Analyst,Science
Financial Data Analyst,Science
Head of Data,Both
Head of Data Science,Both
Head of Machine Learning,AI
Lead Data Analyst,Science
Lead Data Engineer,Engineering
Lead Data Scientist,Both
Lead Machine Learning Engineer,AI
Machine Learning Developer,AI
Machine Learning Engineer,AI
Machine Learning Infrastructure Engineer,AI
Machine Learning Manager,AI
Machine Learning Scientist,AI
Marketing Data Analyst,Science
ML Engineer,AI
NLP Engineer,ai
Principal Data Analyst,Science
Principal Data Engineer,Engineering
Principal Data Scientist,Both
Product Data Analyst,Science
Research Scientist,Science
Staff Data Scientist,Science